date,CES0500000003,CPIAUCSL,CUSR0000SAF11,CUSR0000SETB01,ECOMNSA,FEDFUNDS,JTSJOL,PCE,PI,PSAVERT,REVOLSL,RSAFS,UMCSENT
2018-01-01,26.72,248.859,239.854,235.325,109651.0,1.41,6621.0,13703.3,17141.7,5.7,1022731.0,481414.0,95.7
2018-02-01,26.74,249.529,239.187,239.767,,1.42,6552.0,13738.7,17204.1,5.8,1024980.99,484031.0,99.7
2018-03-01,26.85,249.577,239.149,231.325,,1.51,6818.0,13793.2,17268.2,5.9,1028817.4,484110.0,101.4
2018-04-01,26.91,250.227,239.541,238.803,117433.0,1.69,6877.0,13838.4,17328.7,6.0,1024656.62,484154.0,98.8
2018-05-01,26.98,250.792,238.884,242.344,,1.7,7016.0,13905.0,17404.4,6.0,1027724.28,491960.0,98.0
2018-06-01,27.03,251.018,239.048,243.105,,1.82,7230.0,13930.4,17488.4,6.3,1025345.59,490228.0,98.2
2018-07-01,27.1,251.214,239.565,241.377,118441.0,1.91,7190.0,13974.8,17587.6,6.5,1035337.56,493142.0,97.9
2018-08-01,27.21,251.663,239.795,246.229,,1.91,7208.0,14014.0,17664.0,6.6,1042014.05,493445.0,96.2
2018-09-01,27.32,252.182,239.967,250.369,,1.95,7411.0,14017.8,17693.5,6.8,1043901.27,491507.0,100.1
2018-10-01,27.37,252.772,239.558,253.471,152838.0,2.19,7304.0,14083.1,17749.8,6.7,1050366.36,496416.0,98.6
2018-11-01,27.44,252.594,240.227,238.309,,2.2,7594.0,14162.9,17795.7,6.5,1052545.16,498854.0,97.5
2018-12-01,27.56,252.767,241.137,225.063,,2.27,7489.0,14051.6,18012.4,8.4,1053847.44,489113.0,98.3
2019-01-01,27.59,252.561,241.581,208.73,119529.0,2.4,7502.0,14084.6,18078.6,8.4,1061026.63,490440.0,91.2
2019-02-01,27.69,253.319,242.111,217.237,,2.4,7066.0,14117.4,18152.9,8.5,1063376.27,491751.0,93.8
2019-03-01,27.77,254.277,242.482,230.013,,2.41,7317.0,14248.6,18226.6,7.9,1064354.25,499292.0,98.4
2019-04-01,27.79,255.233,241.219,245.651,130221.0,2.42,7272.0,14290.0,18266.8,7.6,1070714.69,499343.0,97.2
2019-05-01,27.88,255.296,241.642,242.557,,2.39,7275.0,14353.3,18286.9,7.3,1073802.25,504741.0,100.0
2019-06-01,27.96,255.213,241.214,231.691,,2.38,7194.0,14408.7,18324.3,7.1,1071552.07,505251.0,98.2
2019-07-01,28.03,255.802,240.988,235.098,136419.0,2.4,7042.0,14496.0,18342.4,6.8,1082456.83,509091.0,98.4
2019-08-01,28.14,256.036,240.943,229.734,,2.13,7178.0,14558.2,18432.4,6.9,1084000.01,512561.0,89.8
2019-09-01,28.16,256.43,241.409,228.23,,2.04,7124.0,14590.6,18477.3,7.0,1084190.0,509282.0,93.2
2019-10-01,28.23,257.155,241.999,232.348,175558.0,1.83,7289.0,14617.4,18546.3,7.1,1087314.72,510648.0,95.5
2019-11-01,28.34,257.879,242.726,236.924,,1.55,6888.0,14711.0,18629.5,6.9,1077376.27,514215.0,96.8
2019-12-01,28.38,258.63,242.887,244.197,,1.55,6699.0,14774.8,18594.0,6.2,1091988.88,515866.0,99.3
2020-01-01,28.43,259.127,243.511,242.397,144373.0,1.55,7124.0,14868.3,18808.1,6.8,1076357.79,515119.0,99.8
2020-02-01,28.54,259.25,244.2,230.646,,1.58,6966.0,14828.1,18904.6,7.5,1081958.19,515330.0,101.0
2020-03-01,28.74,258.076,245.017,204.901,,0.65,5894.0,13812.8,18591.4,12.4,1064082.5,468324.0,89.1
2020-04-01,30.04,256.032,251.063,164.836,200899.0,0.05,4606.0,12249.2,20752.1,31.8,1006627.91,401028.0,71.8
2020-05-01,29.72,255.802,253.23,160.261,,0.05,5612.0,13281.5,19893.3,22.6,981248.2,478449.0,72.3
2020-06-01,29.38,257.042,254.674,178.169,,0.08,6129.0,14049.2,19949.4,18.3,973899.96,518038.0,78.1
2020-07-01,29.39,258.352,252.003,185.072,201682.0,0.09,6530.0,14307.2,20199.6,17.9,971278.7,526304.0,72.5
2020-08-01,29.5,259.316,252.148,188.325,,0.1,6429.0,14462.2,19597.4,13.9,961509.24,530735.0,74.1
2020-09-01,29.51,259.997,251.166,193.069,,0.09,6511.0,14668.1,19758.2,13.3,964464.42,541302.0,80.4
2020-10-01,29.55,260.319,251.641,191.525,251533.0,0.09,6798.0,14725.8,19763.6,12.8,961074.18,539114.0,81.8
2020-11-01,29.64,260.911,251.365,191.823,,0.09,6820.0,14701.6,19620.7,12.0,953306.86,533941.0,76.9
2020-12-01,29.91,262.045,252.536,208.753,,0.09,6773.0,14822.0,19741.5,11.8,954603.43,538548.0,80.7
2021-01-01,29.92,262.639,252.588,221.457,210681.0,0.09,7204.0,15073.0,21826.1,19.5,951790.91,559230.0,79.0
2021-02-01,30.07,263.573,252.945,234.076,,0.08,7752.0,14983.5,20313.1,13.0,955872.65,544891.0,76.8
2021-03-01,30.04,264.847,253.136,250.828,,0.07,8470.0,15709.7,24535.1,26.2,954267.4,603581.0,84.9
2021-04-01,30.23,266.625,254.204,246.431,228882.0,0.07,9356.0,15917.5,21372.5,12.4,953948.77,608961.0,88.3
2021-05-01,30.41,268.404,254.972,250.207,,0.06,9905.0,15973.5,20970.3,10.0,961471.41,605282.0,82.9
2021-06-01,30.55,270.71,257.066,258.45,,0.08,10298.0,16191.7,21008.4,8.8,986122.27,611950.0,85.5
2021-07-01,30.66,271.965,258.4,262.373,221442.0,0.1,11049.0,16239.7,21234.4,9.5,990643.76,601817.0,81.2
2021-08-01,30.79,272.752,259.572,268.57,,0.09,10956.0,16412.9,21285.2,8.7,994001.28,605533.0,70.3
2021-09-01,30.96,273.942,262.346,274.224,,0.08,10879.0,16489.6,21164.2,7.6,1005332.86,609671.0,72.8
2021-10-01,31.15,276.528,265.084,286.559,275587.0,0.08,11341.0,16704.2,21330.9,7.0,1013373.01,618573.0,71.7
2021-11-01,31.25,278.824,267.315,303.209,,0.08,11119.0,16849.8,21439.1,6.6,1025886.27,624874.0,67.4
2021-12-01,31.41,280.806,268.962,312.262,,0.08,11417.0,16891.0,21507.6,6.6,1033546.93,619938.0,70.6
2022-01-01,31.62,282.542,271.278,311.988,226040.0,0.08,11238.0,16993.8,21503.8,4.2,1043732.38,631509.0,67.2
2022-02-01,31.66,284.525,274.848,323.725,,0.08,11661.0,17106.0,21649.2,4.1,1055211.13,638101.0,62.8
2022-03-01,31.82,287.467,278.588,369.801,,0.2,12134.0,17347.2,21747.5,3.2,1079329.43,651027.0,59.4
2022-04-01,31.96,288.582,281.629,353.734,240460.0,0.33,11881.0,17490.0,21821.7,2.6,1092969.86,660194.0,65.2
2022-05-01,32.1,291.299,285.414,371.837,,0.77,11483.0,17574.5,21907.2,2.6,1101405.35,659847.0,58.4
2022-06-01,32.2,295.072,288.583,413.1,,1.21,11256.0,17755.2,22011.1,2.2,1120580.97,666113.0,50.0
2022-07-01,32.35,294.94,292.287,376.184,241484.0,1.68,11610.0,17770.1,22218.4,3.3,1130232.19,659550.0,51.5
2022-08-01,32.44,295.162,294.799,336.269,,2.33,10148.0,17916.5,22357.1,3.2,1144559.23,663566.0,58.2
2022-09-01,32.55,296.421,296.302,324.545,,2.56,10812.0,17992.8,22487.0,3.4,1154880.25,661854.0,58.6
2022-10-01,32.7,297.979,297.943,337.258,289493.0,3.08,10488.0,18109.6,22636.4,3.4,1166450.12,668671.0,59.9
2022-11-01,32.84,298.708,299.267,335.333,,3.78,10619.0,18108.0,22705.7,3.8,1182560.52,659458.0,56.7
2022-12-01,32.96,298.808,300.553,308.143,,4.1,10876.0,18116.5,22800.5,4.2,1192639.7,651763.0,59.8
